category_truth,text
Utilities & Bills,ONLINE PAYMENT CON EDISON #5003 SEATTLE WA NNCQUK
Subscriptions & Entertainment,PLANET FITNESS #3254 PHOENIX AZ T8F8UA
Subscriptions & Entertainment,SPOTIFY USA #6709 800-555-0180
Subscriptions & Entertainment,RECURRING PYMT YOUTUBE PREMIUM ATLANTA GA
Groceries,SPROUTS FARMERS MKT COLUMBUS OH
Health & Wellness,LENSCRAFTERS AUSTIN TX 4845478644
Dining & Coffee,SQ * SWEETGREEN COLUMBUS OH AK17MG
Utilities & Bills,RECURRING PYMT STATE FARM INSURANCE #7017 CHICAGO IL 5766265210
Transportation,SHELL OIL ATLANTA GA
Dining & Coffee,POS PURCHASE PANERA BREAD AUSTIN TX
Dining & Coffee,TST* STARBUCKS BOSTON MA
Groceries,DEBIT CARD PURCHASE SPROUTS FARMERS MKT MIAMI FL
Subscriptions & Entertainment,WEB PMT YOUTUBE PREMIUM BOSTON MA
Transportation,RECURRING PYMT METRO TRANSIT AUTHORITY MIAMI FL
Subscriptions & Entertainment,WEB PMT PELOTON MEMBERSHIP #4240 DENVER CO 1650795606
Dining & Coffee,SQ *LOCAL COFFEE ROASTERS #8935 ATLANTA GA
Shopping & Retail,DEBIT CARD PURCHASE BEST BUY BOSTON MA
Health & Wellness,RITE AID PHARMACY DENVER CO
Groceries,PIN PURCHASE COSTCO WHSE COLUMBUS OH
Subscriptions & Entertainment,AUTOPAY AMC THEATRES PHOENIX AZ
Dining & Coffee,POS PURCHASE CHIPOTLE ONLINE COLUMBUS OH 800-555-0116
Groceries,PUBLIX CHICAGO IL
Transportation,POS PURCHASE LYFT RIDE COLUMBUS OH
Dining & Coffee,SQ *LOCAL COFFEE ROASTERS COLUMBUS OH
Transportation,CITY PARKING AUTH SEATTLE WA
Health & Wellness,LENSCRAFTERS ATLANTA GA 9212248056
Utilities & Bills,ONLINE PAYMENT CITY WATER DEPT PHOENIX AZ 800-555-0114
Transportation,CHEVRON COLUMBUS OH 800-555-0127
Utilities & Bills,ONLINE PAYMENT NATIONAL GRID PHOENIX AZ
Groceries,PIN PURCHASE WEGMANS #9524 SEATTLE WA 96207469
Transportation,RECURRING PYMT EZPASS TOLL DENVER CO 800-555-0122
Dining & Coffee,STARBUCKS DENVER CO
Utilities & Bills,RECURRING PYMT GEICO AUTO INS
Health & Wellness,WALGREENS #5618 COLUMBUS OH 800-555-0148
Subscriptions & Entertainment,DISNEY PLUS #9971 DENVER CO 4UL1UH
Shopping & Retail,WEB PMT WALMART SUPERCENTER PORTLAND OR 800-555-0195
Groceries,PIN PURCHASE WHOLEFDS MKT #9602 PORTLAND OR RRHS63
Transportation,RECURRING PYMT UBER TRIP
Health & Wellness,CARD PAYMENT GNC PHOENIX AZ 2687141898
Subscriptions & Entertainment,PLANET FITNESS 800-555-0178
Utilities & Bills,ONLINE PAYMENT T-MOBILE #9929
Subscriptions & Entertainment,WEB PMT YOUTUBE PREMIUM 28874806
Dining & Coffee,TST* STARBUCKS ATLANTA GA 4837332964
Subscriptions & Entertainment,SPOTIFY USA BOSTON MA
Groceries,WHOLEFDS MKT PORTLAND OR
Dining & Coffee,POS PURCHASE MCDONALD S CHICAGO IL
Health & Wellness,POS PURCHASE WALGREENS MIAMI FL
Transportation,RECURRING PYMT METRO TRANSIT AUTHORITY CHICAGO IL 9926452383
Shopping & Retail,DEBIT CARD PURCHASE HOME DEPOT DENVER CO 1195432769
Shopping & Retail,WEB PMT BEST BUY ATLANTA GA
Transportation,CITY PARKING AUTH #4239
Transportation,POS PURCHASE CHEVRON #8285 ATLANTA GA
Dining & Coffee,TST* UBEREATS #3737 ATLANTA GA
Utilities & Bills,RECURRING PYMT VERIZON WIRELESS COLUMBUS OH
Transportation,RECURRING PYMT ZIPCAR #7493 70021381
Health & Wellness,KAISER PERMANENTE COPAY PHOENIX AZ
Subscriptions & Entertainment,RECURRING PYMT DISNEY PLUS PORTLAND OR 800-555-0194
Shopping & Retail,ETSY.COM 96949832
Utilities & Bills,ACH DEBIT STATE FARM INSURANCE #2644 AUSTIN TX 68322618
Dining & Coffee,SQ * STARBUCKS #6205 ATLANTA GA
Shopping & Retail,MICHAELS STORES #8446 COLUMBUS OH
Dining & Coffee,SQ * DUNKIN #349021 COLUMBUS OH
Subscriptions & Entertainment,WEB PMT DISNEY PLUS ATLANTA GA
Transportation,RECURRING PYMT CITY PARKING AUTH #9307 BOSTON MA
Health & Wellness,CARD PAYMENT RITE AID PHARMACY SEATTLE WA
Utilities & Bills,ONLINE PAYMENT STATE FARM INSURANCE SEATTLE WA T04CHT
Utilities & Bills,RECURRING PYMT CITY WATER DEPT #5583
Dining & Coffee,SQ * STARBUCKS AUSTIN TX
Subscriptions & Entertainment,NETFLIX.COM #3702 PHOENIX AZ
Groceries,DEBIT CARD PURCHASE H MART #1058 CHICAGO IL 70558190
Utilities & Bills,ACH DEBIT AT&T U-VERSE #4472 DENVER CO 800-555-0170
Subscriptions & Entertainment,YOUTUBE PREMIUM DENVER CO
Subscriptions & Entertainment,AMAZON PRIME COLUMBUS OH
Shopping & Retail,POS PURCHASE TARGET COLUMBUS OH
Utilities & Bills,AUTOPAY GEICO AUTO INS #6814 COLUMBUS OH DTC4E5
Transportation,RECURRING PYMT EZPASS TOLL #1512 CHICAGO IL 800-555-0188
Utilities & Bills,ONLINE PAYMENT CON EDISON SEATTLE WA
Groceries,DEBIT CARD PURCHASE COSTCO WHSE #7849 ATLANTA GA 800-555-0194
Health & Wellness,POS PURCHASE WALGREENS #7061 MIAMI FL 800-555-0194
Subscriptions & Entertainment,WEB PMT AMAZON PRIME #6832 COLUMBUS OH
Dining & Coffee,STARBUCKS DENVER CO 1NPVGU
Health & Wellness,CARD PAYMENT RITE AID PHARMACY #7795 PORTLAND OR
Dining & Coffee,POS PURCHASE MCDONALD S #8249 BOSTON MA 800-555-0158
Shopping & Retail,HOME DEPOT DENVER CO
Subscriptions & Entertainment,PLANET FITNESS #3733 AUSTIN TX 38925701
Utilities & Bills,AUTOPAY GEICO AUTO INS #6466 AUSTIN TX
Dining & Coffee,TST* THE CORNER BISTRO #650 AUSTIN TX
Dining & Coffee,SQ *LOCAL COFFEE ROASTERS DENVER CO
Health & Wellness,CARD PAYMENT LENSCRAFTERS #2640
Utilities & Bills,AUTOPAY VERIZON WIRELESS #6794 CHICAGO IL
Shopping & Retail,DEBIT CARD PURCHASE HOME DEPOT #5649 DENVER CO 800-555-0113
Subscriptions & Entertainment,YOUTUBE PREMIUM MIAMI FL
Dining & Coffee,POS PURCHASE DUNKIN #349021
Groceries,POS PURCHASE SAFEWAY #8171 SEATTLE WA
Dining & Coffee,TST* PANERA BREAD PHOENIX AZ
Utilities & Bills,ACH DEBIT NATIONAL GRID SEATTLE WA
Dining & Coffee,CHIPOTLE ONLINE #5511 CHICAGO IL
Shopping & Retail,POS PURCHASE IKEA #8512 CHICAGO IL
Health & Wellness,CARD PAYMENT WALGREENS #7640 DENVER CO
Utilities & Bills,ONLINE PAYMENT AT&T U-VERSE #492 CHICAGO IL
Shopping & Retail,POS PURCHASE WALMART SUPERCENTER #9814 CHICAGO IL
Shopping & Retail,ETSY.COM CHICAGO IL
Shopping & Retail,DEBIT CARD PURCHASE BEST BUY #6054 COLUMBUS OH 800-555-0195
Subscriptions & Entertainment,WEB PMT PELOTON MEMBERSHIP 22848354
Shopping & Retail,AMAZON MKTPLACE #8670 AUSTIN TX
Dining & Coffee,POS PURCHASE CHIPOTLE ONLINE #3392 MIAMI FL
Transportation,POS PURCHASE LYFT RIDE ATLANTA GA
Health & Wellness,CARD PAYMENT ASPEN DENTAL
Transportation,POS PURCHASE ZIPCAR #9969 COLUMBUS OH
Health & Wellness,CVS/PHARMACY #7804 CHICAGO IL
Groceries,PIN PURCHASE WHOLEFDS MKT AUSTIN TX
Dining & Coffee,POS PURCHASE DUNKIN #349021 COLUMBUS OH 800-555-0141
Dining & Coffee,STARBUCKS BOSTON MA
Dining & Coffee,DOORDASH* #8333 PORTLAND OR
Groceries,PIN PURCHASE TRADER JOE S #7713 PHOENIX AZ 800-555-0173
Shopping & Retail,DEBIT CARD PURCHASE IKEA ATLANTA GA
Dining & Coffee,DUNKIN #349021 BOSTON MA
Health & Wellness,POS PURCHASE CITY MEDICAL GROUP SEATTLE WA
Transportation,POS PURCHASE EZPASS TOLL ATLANTA GA
Health & Wellness,CVS/PHARMACY #7677 MIAMI FL 2778489682
Utilities & Bills,AUTOPAY STATE FARM INSURANCE ATLANTA GA 94501957
Transportation,ZIPCAR BOSTON MA 800-555-0159
Groceries,PIN PURCHASE SPROUTS FARMERS MKT COLUMBUS OH 800-555-0127
Groceries,DEBIT CARD PURCHASE COSTCO WHSE PHOENIX AZ 800-555-0168
Health & Wellness,CARD PAYMENT ASPEN DENTAL PORTLAND OR
Health & Wellness,CVS/PHARMACY PORTLAND OR 800-555-0160
Subscriptions & Entertainment,AUTOPAY AMAZON PRIME MIAMI FL
Dining & Coffee,SQ *BLUE BOTTLE COFFEE #8324 ATLANTA GA
Subscriptions & Entertainment,RECURRING PYMT PLANET FITNESS MIAMI FL 800-555-0137
Subscriptions & Entertainment,AUTOPAY PELOTON MEMBERSHIP ATLANTA GA
Dining & Coffee,MCDONALD S COLUMBUS OH 800-555-0111
Health & Wellness,CVS/PHARMACY #1694 800-555-0155
Utilities & Bills,RECURRING PYMT AT&T U-VERSE BOSTON MA 800-555-0133
Groceries,KROGER AUSTIN TX
Dining & Coffee,SWEETGREEN 49194634
Shopping & Retail,POS PURCHASE AMAZON MKTPLACE CHICAGO IL 76426428
Dining & Coffee,SQ *BLUE BOTTLE COFFEE #2907 44758050
Dining & Coffee,TST* STARBUCKS #7453 AUSTIN TX 800-555-0121
Subscriptions & Entertainment,PLANET FITNESS #7080 BOSTON MA JUVW9P
Groceries,POS PURCHASE ALDI SEATTLE WA
Subscriptions & Entertainment,APPLE.COM/BILL #4386 PHOENIX AZ
Groceries,SPROUTS FARMERS MKT MIAMI FL 7422675620
Dining & Coffee,TST* CHIPOTLE ONLINE #7840 SEATTLE WA
Dining & Coffee,DUNKIN #349021 MIAMI FL ZPLGUJ
Shopping & Retail,OLD NAVY #7059 BOSTON MA
Dining & Coffee,POS PURCHASE UBEREATS AUSTIN TX
Health & Wellness,GNC #6888 MIAMI FL 800-555-0175
Dining & Coffee,DOORDASH* MIAMI FL
Health & Wellness,POS PURCHASE CITY MEDICAL GROUP MIAMI FL 800-555-0129
Groceries,DEBIT CARD PURCHASE COSTCO WHSE COLUMBUS OH
Utilities & Bills,RECURRING PYMT NATIONAL GRID
Subscriptions & Entertainment,RECURRING PYMT AMC THEATRES ATLANTA GA
Transportation,METRO TRANSIT AUTHORITY CHICAGO IL YLDPUS
Dining & Coffee,DUNKIN #349021 MIAMI FL BPWALH
Groceries,DEBIT CARD PURCHASE PUBLIX DENVER CO 1813750214
Dining & Coffee,TST* THE CORNER BISTRO #4006 PORTLAND OR
Dining & Coffee,TST* SWEETGREEN SEATTLE WA
Groceries,DEBIT CARD PURCHASE SAFEWAY
Transportation,UBER TRIP COLUMBUS OH
Subscriptions & Entertainment,WEB PMT PLANET FITNESS SEATTLE WA
Dining & Coffee,TST* DUNKIN #349021 BOSTON MA 800-555-0158
Shopping & Retail,MICHAELS STORES PHOENIX AZ 7513615680
Groceries,SAFEWAY PHOENIX AZ
Groceries,POS PURCHASE H MART #2530 AUSTIN TX
Dining & Coffee,UBEREATS #2046 MIAMI FL 9373971550
Subscriptions & Entertainment,PELOTON MEMBERSHIP DENVER CO 800-555-0149
Groceries,POS PURCHASE TRADER JOE S #2386 PORTLAND OR 68040250
Shopping & Retail,NORDSTROM #5053 PORTLAND OR
Health & Wellness,ASPEN DENTAL #818 800-555-0182
Utilities & Bills,ONLINE PAYMENT PG&E ONLINE PYMT BOSTON MA
Groceries,POS PURCHASE KROGER PORTLAND OR
Groceries,PIN PURCHASE SAFEWAY SEATTLE WA
Groceries,POS PURCHASE H MART #4808 COLUMBUS OH 7406846907
Transportation,EXXONMOBIL CHICAGO IL
Groceries,SPROUTS FARMERS MKT #1149 AUSTIN TX AUWA0C
Dining & Coffee,POS PURCHASE DUNKIN #349021 DENVER CO 64331294
Dining & Coffee,SQ *LOCAL COFFEE ROASTERS BOSTON MA
Transportation,RECURRING PYMT LYFT RIDE AUSTIN TX 800-555-0168
Health & Wellness,CARD PAYMENT WALGREENS #7012 PHOENIX AZ 19744042
Groceries,POS PURCHASE H MART PHOENIX AZ
Shopping & Retail,DEBIT CARD PURCHASE AMAZON MKTPLACE #7646 PHOENIX AZ
Groceries,SPROUTS FARMERS MKT AUSTIN TX
Dining & Coffee,TST* UBEREATS #7279 SEATTLE WA 800-555-0166
Shopping & Retail,WEB PMT NORDSTROM #625 CHICAGO IL
Shopping & Retail,POS PURCHASE OLD NAVY AUSTIN TX
Subscriptions & Entertainment,WEB PMT DISNEY PLUS #7515 MIAMI FL
Shopping & Retail,TARGET #4741 BOSTON MA
Dining & Coffee,SQ *BLUE BOTTLE COFFEE #915 DENVER CO 26442714
Health & Wellness,POS PURCHASE KAISER PERMANENTE COPAY AUSTIN TX
Shopping & Retail,DEBIT CARD PURCHASE AMAZON MKTPLACE COLUMBUS OH 800-555-0172
Dining & Coffee,POS PURCHASE DUNKIN #349021 COLUMBUS OH
Groceries,PIN PURCHASE WHOLEFDS MKT #6047 PHOENIX AZ
Utilities & Bills,ACH DEBIT PG&E ONLINE PYMT PHOENIX AZ 82590379
Shopping & Retail,WEB PMT TARGET MIAMI FL
Transportation,POS PURCHASE CHEVRON #668 PORTLAND OR
Transportation,SHELL OIL MIAMI FL
Groceries,DEBIT CARD PURCHASE PUBLIX AUSTIN TX 82843720
Dining & Coffee,SQ *BLUE BOTTLE COFFEE PHOENIX AZ 3410183751
Transportation,POS PURCHASE SHELL OIL COLUMBUS OH
Utilities & Bills,ACH DEBIT PG&E ONLINE PYMT #9619
Subscriptions & Entertainment,HULU BOSTON MA 800-555-0164
Subscriptions & Entertainment,WEB PMT PELOTON MEMBERSHIP BOSTON MA
Transportation,RECURRING PYMT SHELL OIL PORTLAND OR
Dining & Coffee,DUNKIN #349021 AUSTIN TX
Health & Wellness,POS PURCHASE ASPEN DENTAL #2195 BOSTON MA
Transportation,RECURRING PYMT METRO TRANSIT AUTHORITY #4702 CHICAGO IL
Groceries,COSTCO WHSE COLUMBUS OH
Transportation,RECURRING PYMT ZIPCAR CHICAGO IL 3936833889
Groceries,POS PURCHASE WHOLEFDS MKT
Dining & Coffee,DOORDASH* #3160 ATLANTA GA
Transportation,POS PURCHASE UBER TRIP
Dining & Coffee,TST* CHIPOTLE ONLINE #1757 AUSTIN TX
Shopping & Retail,POS PURCHASE MICHAELS STORES #8290 COLUMBUS OH 800-555-0179
Subscriptions & Entertainment,WEB PMT DISNEY PLUS AUSTIN TX 800-555-0197
Utilities & Bills,ACH DEBIT COMCAST CABLE CHICAGO IL XU4BFY
Transportation,POS PURCHASE CHEVRON #1553 BOSTON MA RKJCJD
Health & Wellness,CARD PAYMENT GNC SEATTLE WA
Utilities & Bills,AUTOPAY NATIONAL GRID COLUMBUS OH
Groceries,ALDI #6851 DENVER CO 1086291422
Groceries,SAFEWAY #8117
Transportation,POS PURCHASE EXXONMOBIL #9568 PORTLAND OR
Transportation,POS PURCHASE EZPASS TOLL MIAMI FL
Transportation,RECURRING PYMT EXXONMOBIL AUSTIN TX 34529645
Subscriptions & Entertainment,DISNEY PLUS P6W5ET
Health & Wellness,POS PURCHASE GNC #7174 BOSTON MA
Dining & Coffee,DOORDASH* #2453 PHOENIX AZ
Transportation,POS PURCHASE BP#8834 ATLANTA GA
Transportation,ZIPCAR #3388 DENVER CO 24972856
Health & Wellness,RITE AID PHARMACY #8188 SEATTLE WA
Transportation,POS PURCHASE EXXONMOBIL ATLANTA GA 800-555-0169
Dining & Coffee,SQ * PANERA BREAD COLUMBUS OH
Groceries,PIN PURCHASE PUBLIX BOSTON MA 12670454
Shopping & Retail,NORDSTROM AUSTIN TX
Health & Wellness,CVS/PHARMACY 67253938
Transportation,SHELL OIL #5978 COLUMBUS OH
Groceries,POS PURCHASE SPROUTS FARMERS MKT MIAMI FL
Subscriptions & Entertainment,AUTOPAY AMAZON PRIME #1558 CHICAGO IL 86105712
Utilities & Bills,AUTOPAY CITY WATER DEPT BOSTON MA
Subscriptions & Entertainment,NETFLIX.COM DENVER CO
Groceries,DEBIT CARD PURCHASE SPROUTS FARMERS MKT #7240 PHOENIX AZ 800-555-0153
Transportation,LYFT RIDE ATLANTA GA
Transportation,ZIPCAR COLUMBUS OH 800-555-0137
Utilities & Bills,ONLINE PAYMENT NATIONAL GRID BOSTON MA
Shopping & Retail,POS PURCHASE TARGET AUSTIN TX
Health & Wellness,ASPEN DENTAL ATLANTA GA
Health & Wellness,POS PURCHASE GNC SEATTLE WA
Dining & Coffee,TST* UBEREATS MIAMI FL
Shopping & Retail,TARGET #9250 PHOENIX AZ 64232906
Dining & Coffee,SQ *BLUE BOTTLE COFFEE CHICAGO IL
Shopping & Retail,MICHAELS STORES BOSTON MA
Dining & Coffee,POS PURCHASE MCDONALD S #4778 PHOENIX AZ 800-555-0127
Subscriptions & Entertainment,RECURRING PYMT NYTIMES SUBSCRIPTION #7917 ATLANTA GA 800-555-0136
Transportation,ZIPCAR COLUMBUS OH
Groceries,POS PURCHASE SAFEWAY PHOENIX AZ 800-555-0150
Subscriptions & Entertainment,NETFLIX.COM AUSTIN TX 800-555-0192
Subscriptions & Entertainment,AUTOPAY YOUTUBE PREMIUM #9922 CHICAGO IL 6636902364
Dining & Coffee,TST* THE CORNER BISTRO #1069 PORTLAND OR
Dining & Coffee,TST* THE CORNER BISTRO MIAMI FL
Health & Wellness,POS PURCHASE RITE AID PHARMACY PORTLAND OR
Subscriptions & Entertainment,HULU 445GDE
Health & Wellness,CARD PAYMENT KAISER PERMANENTE COPAY #4389 DENVER CO
Subscriptions & Entertainment,NETFLIX.COM AUSTIN TX
Dining & Coffee,DOORDASH* #3231 PORTLAND OR
Utilities & Bills,ONLINE PAYMENT T-MOBILE BOSTON MA
Health & Wellness,RITE AID PHARMACY SEATTLE WA
Groceries,POS PURCHASE ALDI AUSTIN TX 800-555-0180
Subscriptions & Entertainment,RECURRING PYMT PLANET FITNESS ATLANTA GA
Dining & Coffee,CHIPOTLE ONLINE
Health & Wellness,POS PURCHASE LENSCRAFTERS #7243 COLUMBUS OH
Utilities & Bills,ACH DEBIT COMCAST CABLE #5236 DENVER CO
Groceries,DEBIT CARD PURCHASE PUBLIX #4425 BOSTON MA 800-555-0116
Groceries,POS PURCHASE SPROUTS FARMERS MKT #4235 PHOENIX AZ
Dining & Coffee,SQ * CHIPOTLE ONLINE AUSTIN TX
Shopping & Retail,POS PURCHASE AMAZON MKTPLACE
Subscriptions & Entertainment,AUTOPAY YOUTUBE PREMIUM PORTLAND OR 800-555-0171
Shopping & Retail,TARGET AUSTIN TX
Groceries,DEBIT CARD PURCHASE PUBLIX COLUMBUS OH BWM2Q9
Shopping & Retail,WEB PMT OLD NAVY PHOENIX AZ 18031901
Shopping & Retail,BEST BUY ATLANTA GA
Transportation,POS PURCHASE SHELL OIL #1563 AUSTIN TX 13238866
Utilities & Bills,ONLINE PAYMENT T-MOBILE MIAMI FL
Health & Wellness,CARD PAYMENT KAISER PERMANENTE COPAY COLUMBUS OH
Health & Wellness,CVS/PHARMACY MIAMI FL
Subscriptions & Entertainment,AUTOPAY DISNEY PLUS #3013
Shopping & Retail,IKEA #7044 PORTLAND OR 800-555-0185
Groceries,DEBIT CARD PURCHASE COSTCO WHSE #7162 AUSTIN TX
Groceries,DEBIT CARD PURCHASE SPROUTS FARMERS MKT DENVER CO
Groceries,POS PURCHASE H MART COLUMBUS OH
Subscriptions & Entertainment,RECURRING PYMT PLANET FITNESS #2817 4196974324
Shopping & Retail,POS PURCHASE TARGET 800-555-0192
Subscriptions & Entertainment,RECURRING PYMT PELOTON MEMBERSHIP #2017 MIAMI FL
Dining & Coffee,DOORDASH* COLUMBUS OH
Subscriptions & Entertainment,NETFLIX.COM ATLANTA GA 2XWBD4
Transportation,RECURRING PYMT SHELL OIL #1197 PORTLAND OR
Groceries,POS PURCHASE H MART ATLANTA GA
Dining & Coffee,DOORDASH* SEATTLE WA
Dining & Coffee,SQ *LOCAL COFFEE ROASTERS CHICAGO IL
Subscriptions & Entertainment,PLANET FITNESS COLUMBUS OH 800-555-0133
Utilities & Bills,RECURRING PYMT AT&T U-VERSE #4175 CHICAGO IL
Groceries,DEBIT CARD PURCHASE WHOLEFDS MKT MIAMI FL
Transportation,CITY PARKING AUTH ATLANTA GA
Shopping & Retail,WALMART SUPERCENTER #7453 SEATTLE WA
Subscriptions & Entertainment,NETFLIX.COM
Utilities & Bills,RECURRING PYMT STATE FARM INSURANCE COLUMBUS OH 22310503
Utilities & Bills,ONLINE PAYMENT PG&E ONLINE PYMT #6536 CHICAGO IL 800-555-0179
Dining & Coffee,SQ *BLUE BOTTLE COFFEE ATLANTA GA
Dining & Coffee,POS PURCHASE PANERA BREAD
Transportation,EZPASS TOLL 5BJ5C5
Subscriptions & Entertainment,APPLE.COM/BILL #9646 COLUMBUS OH
Utilities & Bills,ACH DEBIT CITY WATER DEPT ATLANTA GA
Utilities & Bills,RECURRING PYMT GEICO AUTO INS PORTLAND OR
Subscriptions & Entertainment,PELOTON MEMBERSHIP DENVER CO
Subscriptions & Entertainment,NETFLIX.COM ATLANTA GA
Subscriptions & Entertainment,NETFLIX.COM MIAMI FL
Subscriptions & Entertainment,APPLE.COM/BILL ATLANTA GA 800-555-0114
Shopping & Retail,POS PURCHASE BEST BUY #6262 DENVER CO
Subscriptions & Entertainment,AUTOPAY PELOTON MEMBERSHIP #2678 CHICAGO IL
Transportation,UBER TRIP CHICAGO IL 90428350
Transportation,RECURRING PYMT CITY PARKING AUTH #1971 MIAMI FL
Shopping & Retail,WEB PMT TARGET #8589 DENVER CO NSM6DF
Groceries,DEBIT CARD PURCHASE TRADER JOE S ATLANTA GA
Shopping & Retail,POS PURCHASE OLD NAVY PHOENIX AZ 8473468083
Subscriptions & Entertainment,DISNEY PLUS #8480 COLUMBUS OH VWKZSM
Dining & Coffee,SQ * DUNKIN #349021 COLUMBUS OH 800-555-0193
Groceries,DEBIT CARD PURCHASE ALDI #1269
Dining & Coffee,SQ *LOCAL COFFEE ROASTERS #5504 PORTLAND OR 3846628964
Health & Wellness,POS PURCHASE WALGREENS PORTLAND OR
Utilities & Bills,AUTOPAY NATIONAL GRID 800-555-0131
Dining & Coffee,DOORDASH* DENVER CO 800-555-0124
Subscriptions & Entertainment,SPOTIFY USA PHOENIX AZ
Utilities & Bills,RECURRING PYMT CON EDISON #478 ATLANTA GA 7697011085
Health & Wellness,CARD PAYMENT WALGREENS
Utilities & Bills,ACH DEBIT VERIZON WIRELESS #4544 PORTLAND OR 49066931
Health & Wellness,LENSCRAFTERS
Dining & Coffee,SQ * CHIPOTLE ONLINE COLUMBUS OH
Transportation,UBER TRIP BOSTON MA 800-555-0170
Shopping & Retail,AMAZON MKTPLACE #8870 PHOENIX AZ
Health & Wellness,CITY MEDICAL GROUP #404 MIAMI FL
Subscriptions & Entertainment,WEB PMT PELOTON MEMBERSHIP PORTLAND OR 78868572
Groceries,PIN PURCHASE ALDI AUSTIN TX
Health & Wellness,CITY MEDICAL GROUP PHOENIX AZ M73HC9
Shopping & Retail,WEB PMT HOME DEPOT #1522 SEATTLE WA
Subscriptions & Entertainment,RECURRING PYMT NYTIMES SUBSCRIPTION MIAMI FL 800-555-0119
Subscriptions & Entertainment,AUTOPAY NYTIMES SUBSCRIPTION ATLANTA GA
Health & Wellness,POS PURCHASE QUEST DIAGNOSTICS CHICAGO IL RVQXBF
Utilities & Bills,ACH DEBIT STATE FARM INSURANCE CHICAGO IL 66053536
Transportation,ZIPCAR 800-555-0128
Groceries,DEBIT CARD PURCHASE WEGMANS #7244 PORTLAND OR
Transportation,RECURRING PYMT LYFT RIDE MIAMI FL 2352853686
Groceries,POS PURCHASE PUBLIX #7385 BOSTON MA
Transportation,POS PURCHASE CITY PARKING AUTH PHOENIX AZ
Dining & Coffee,POS PURCHASE CHIPOTLE ONLINE MIAMI FL 800-555-0112
Dining & Coffee,TST* THE CORNER BISTRO COLUMBUS OH 4839099194
Shopping & Retail,WEB PMT NORDSTROM PHOENIX AZ
Groceries,PIN PURCHASE TRADER JOE S MIAMI FL D8HL3F
Utilities & Bills,ONLINE PAYMENT CON EDISON PORTLAND OR
Health & Wellness,CARD PAYMENT KAISER PERMANENTE COPAY 800-555-0129
Groceries,ALDI #9392 PORTLAND OR
